"hhid","zone","sector","ea","hhsize","wt_wave4","popw","food_own1","food_purch1","food_own2","food_purch2","food_own3","food_purch3","food_own4","food_purch4","food_own5","food_purch5","food_own6","food_purch6","food_own7","food_purch7","food_own8","food_purch8","food_own9","food_purch9","food_own10","food_purch10","food_own11","food_purch11","food_own12","food_purch12","food_own13","food_purch13","food_own14","food_purch14","food_own15","food_purch15","food_own16","food_purch16","food_own17","food_purch17","food_own18","food_purch18","food_own19","food_purch19","food_meals20","nonfood21","nonfood22","nonfood23","nonfood24","nonfood25","nonfood26","nonfood27","nonfood28","nonfood29","edu29","edu30","health31","health32","rent33","reg_def_mean","totcons_pc","totcons_adj","totcons_adj_norm"
10001,4,1,670,6,15279.640625,91677.84375,0,3041.66666666667,0,8690.47585042318,0,13687.4999186198,0,6952.380859375,0,6662.69840494792,0,8473.21415201823,0,10351.2049153646,0,16737.2134602865,0,12601.1907552083,0,14433.6232096354,0,10319.9401041667,0,687.996063232422,0,6789.43455505371,0,651.785725911458,0,0,0,0,0,869.047607421875,0,2372.72878011068,0,8738.27311197917,17380.9520670573,6517.85693359375,10443.0555013021,7604.16666666667,521.428588867188,5819.4443359375,4966.66666666667,4425,10645.8333333333,0,23333.3333333333,14666.6666666667,0,0,33251.6744791667,1.05650001764297,271636.452713013,257109.747446126,263697.570235678
10002,4,1,670,5,15279.640625,76398.203125,0,4171.428515625,0,8603.57121582031,0,15159.1819824219,0,11381.0937011719,0,12549.04765625,0,19617.0497314453,0,9914.65935058594,0,17577.3569335938,0,11471.428515625,0,16946.4286132812,0,3324.10693359375,0,1998.80953369141,0,14484.4202392578,0,12683.1296508789,0,0,0,0,0,2085.7142578125,0,1528.60896682739,0,8968.57109375,38064.28515625,0,7908.333203125,12166.66640625,12097.1428222656,38933.332421875,30950.8333007812,5560,29199.999609375,0,84000,43000,1825,0,25318.840625,1.05650001764297,501489.040436554,474670.167592958,486832.456182366
10003,4,1,670,6,15279.640625,91677.84375,0,3804.03580729167,0,11732.1422526042,0,15968.7501627604,0,7386.90494791667,0,6952.380859375,0,7821.42842610677,0,11094.9890340169,0,9994.04736328125,0,12166.6669921875,0,15353.1744791667,0,10109.9204101562,0,0,0,22697.6204274495,0,2476.78568522135,0,0,0,0,0,0,0,695.238118489583,0,12237.27734375,37282.1422526042,9559.52376302083,14904.1665039062,6083.33317057292,1303.57145182292,6973.61116536458,5635.97229003906,4250,12673.611328125,0,29666.6666666667,20250,0,0,43055.7395833333,1.05650001764297,342129.70048523,323833.123305111,332130.573133101
10004,4,1,670,4,15279.640625,61118.5625,0,9125,0,11732.1428833008,0,25511.2620849609,0,13035.7145385742,0,6680.80346679688,0,9776.78570556641,0,15964.9158935547,0,14013.3924560547,0,16294.6423339844,0,25419.6429443359,0,7821.42846679688,0,9450.89288330078,0,8212.50001525879,0,30413.5649108887,0,29982.142578125,0,0,0,0,0,2585.70245361328,0,8629.642578125,63875,9776.7861328125,28591.6665039062,6539.58349609375,25615.1785430908,28895.8327636719,16622.9167480469,12825,28895.8334960938,0,13000,12500,24637.5002441406,0,56932.58203125,1.05650001764297,573358.056152344,542695.737413702,556601.018649592
10005,4,1,670,6,15279.640625,91677.84375,0,0,0,5431.54744466146,0,2764.68994140625,0,5214.28580729167,0,4623.33333333333,0,0,0,6144.99654134115,0,0,0,12166.6663411458,0,8255.95247395833,0,3910.71419270833,0,1086.3095703125,0,2476.78572591146,0,8895.32356770833,0,0,0,0,0,0,0,2172.61897786458,0,10259.1070963542,27809.5237630208,15208.3333333333,10138.8888346354,0,2389.88088989258,9125,9297.08335367839,10716.6666666667,17236.1110026042,0,45000,30450,5272.22216796875,0,40000,1.05650001764297,296046.041025798,280213.948018921,287393.76072943
10008,4,1,670,7,15279.640625,106957.484375,0,2793.36746651786,0,5214.28564453125,0,8017.59981863839,0,5660.7208077567,0,3376.87067522321,0,9590.56103515625,0,9941.76785714286,0,8566.32631138393,0,10056.1224888393,0,8938.775390625,0,5003.23130580357,0,589.710911342076,0,16317.2205113002,0,2234.69384765625,0,0,0,0,0,744.89794921875,0,2205.29007393973,0,10307.5259486607,9311.22433035714,3724.48967633929,11384.5239955357,7560.71442522322,1564.2856968471,11259.5238560268,7192.85722133092,4042.85714285714,12601.1904296875,0,21857.1428571429,19914.2857142857,7473.8095703125,0,25189.4196428571,1.05650001764297,252635.292602539,239124.740542988,245251.740514567
10009,4,2,0,7,15279.640625,106957.484375,0,0,0,6592.34688895089,1448.06494140625,3724.48967633929,0,5959.18366350446,0,6660.62918526786,0,4096.93879045759,0,7040.34967912946,0,0,0,10056.1224888393,0,11337.5994698661,0,8442.17647879464,0,558.673514229911,0,3473.08679635184,0,2532.6532156808,0,0,0,0,1087.94315011161,0,0,2205.2899344308,0,10428.5711495536,17654.0814732143,6704.08147321429,12166.6667131696,3476.19056919643,74.4897984095982,11035.7141462054,10022.023664202,4514.28571428571,21726.1902901786,0,28714.2857142857,8928.57142857143,9211.90485491071,0,34285.7142857143,1.03949999809265,254158.319148472,244500.547970005,250765.290158795
10010,4,1,670,4,15279.640625,61118.5625,0,0,0,16294.6430664062,0,22862.2854003906,0,9124.99975585938,0,4979.64282226562,0,7821.42846679688,0,14608.6937866211,0,52794.642578125,0,13035.7138671875,0,37803.5704345703,0,14665.1782226562,0,1086.3095703125,0,6322.32141113281,0,7169.64294433594,0,8147.32177734375,0,0,0,0,0,8293.11547851562,0,10301.47265625,24767.8569335938,22812.5,24789.5834960938,0,11666.9642944336,26245.8330078125,6434.37506103516,17150,25854.1665039062,0,47500,6750,9125,0,72342.0078125,1.05650001764297,530749.269348144,502365.603866466,515237.521818671
10031,4,1,1146,4,4958.84716796875,19835.388671875,0,0,0,7647.61910400391,0,10147.3105224609,0,12298.0922241211,0,4618.98801269531,1495.56137695312,5340.29755859375,0,10009.6049438477,0,782.14287109375,0,11210.7139648438,0,10812.9651611328,0,1616.42856445312,0,607.356018066406,0,12341.7539962769,0,9188.31655273438,0,1216.66669921875,0,2190,0,1968.2607421875,0,2867.85705566406,0,9125.0001953125,13100.8926513672,0,9125.00009765625,3041.6666015625,156.428576660156,6387.5,7235.83345947266,2710,5475,0,22500,18800,1064.58334350586,0,30000,1.05650001764297,235081.840293884,222510.02022541,228211.307697803
10032,4,1,1146,3,4958.84716796875,14876.541015625,0,0,0,7228.13671875,0,25595.2734781901,0,12166.6666666667,0,10863.0950520833,0,3910.71419270833,0,9559.52360026042,0,26071.4282226562,0,16077.380859375,0,7135.33821614583,0,3650,0,0,0,12575.8434244792,0,0,0,0,0,0,0,2607.14274088542,0,2172.619140625,0,21726.19140625,24333.3326822917,26071.4280598958,19669.4446614583,17236.1106770833,1824.99997965495,9361.11100260417,15487.5001627604,4833.33333333333,6083.33333333333,0,10050,4166.66666666667,0,0,50000,1.05650001764297,350456.614278158,331714.726384972,340214.123454961
10033,4,1,1146,2,4958.84716796875,9917.6943359375,0,0,0,3258.9287109375,0,17543.0666503906,0,7821.4287109375,0,8560.119140625,0,5214.28564453125,0,18834.7230224609,0,0,0,32589.2846679688,0,23155.5452880859,0,3910.71411132812,0,488.839324951172,0,545.44172668457,0,0,0,19553.5712890625,0,0,0,2607.14282226562,0,3910.71411132812,0,22160.7143554688,31937.5,19553.5708007812,14904.1665039062,5322.91650390625,521.428588867188,19770.8330078125,10576.6666870117,10650,24333.3330078125,0,0,0,17033.3334960938,0,49009.33203125,1.05650001764297,373767.600204468,353779.076159728,362843.819459202
10034,4,1,1146,7,4958.84716796875,34711.9296875,0,0,0,6331.63274274554,0,12377.1592145647,0,3724.48967633929,0,3098.77547781808,0,3724.48967633929,0,6074.24383108956,0,0,0,10242.346609933,0,16201.5306919643,0,3724.48967633929,0,232.780622209821,0,3669.87697165353,0,4479.36412702288,0,0,0,0,0,0,0,5353.95390973772,0,11359.6945103237,11126.9129638672,12011.4793526786,4432.14285714286,0,279.336744035993,10645.8331473214,3835.56546456473,10589.2857142857,6952.38103376116,0,85714.2857142857,15785.7142857143,2085.71428571429,0,11322.232421875,1.05650001764297,265375.711723328,251183.821383528,257619.806480609
10035,4,1,1146,5,4958.84716796875,24794.236328125,0,0,0,7300,0,25941.07109375,0,6778.571484375,0,7430.35703125,0,3146.98610839844,0,12245.2556640625,0,1042.85712890625,0,13035.71484375,0,18098.4630859375,0,3493.571484375,0,325.89287109375,0,7221.78575439453,0,625.714306640625,0,0,0,0,0,2085.7142578125,0,2607.14296875,0,18613.7875,21065.7139648438,16685.7140625,6934.9998046875,6326.666796875,0,5301.6666015625,7667.00009765625,2660,6691.6666015625,0,12900,5400,16303.33359375,0,48000,1.05650001764297,285929.647106934,270638.563494618,277573.029861729
10036,4,1,1146,5,4958.84716796875,24794.236328125,0,2607.14290364583,0,4779.76175130208,0,9560.8453125,0,5920.01796875,0,5488.90465494792,0,2867.8572265625,0,8121.37686360677,0,8690.47591145833,0,13035.7139322917,0,13237.5097005208,0,1738.09521484375,0,0,0,6828.10728149414,0,1659.0908203125,0,0,0,4171.428515625,0,869.047688802083,0,4562.50006510417,0,9494.1716796875,23333.9290527344,8690.47591145833,11761.1110351562,0,9959.2854288737,6021.11103515625,4582.22233072917,3600,7908.33333333333,0,0,0,2798.33330078125,0,36000,1.05650001764297,218286.848919678,206613.199502514,211907.168937066
10037,4,1,1146,2,4958.84716796875,9917.6943359375,0,0,0,6083.33317057292,0,20182.9822591146,0,11732.1429036458,0,5635.15283203125,0,3429.34590657552,0,10655.3717041016,0,0,0,6952.380859375,0,9994.04752604167,0,1564.28564453125,0,0,0,13762.9028142293,0,0,0,0,0,3128.5712890625,0,1738.09521484375,0,651.785705566406,0,13035.71484375,10689.2854207357,4345.23795572917,10645.8334757487,2433.33333333333,217.261912027995,9561.11116536458,14462.4997558594,6183.33333333333,4562.5,0,0,0,3041.66674804688,0,23654.0703125,1.05650001764297,198342.246086121,187735.203761394,192545.469673229
10038,4,1,1146,5,4958.84716796875,24794.236328125,0,0,2172.61881510417,8212.49991861979,0,18197.857014974,0,4171.42864583333,0,4666.78561197917,0,2272.71472981771,0,7169.64279785156,0,0,0,6517.85696614583,0,10950.0002278646,0,7300.00006510417,0,0,0,4760.9752087911,0,4012.39282836914,0,0,0,0,0,1303.57137044271,0,10863.0950520833,0,11297.6188802083,9472.61901041667,0,6894.44462890625,0,52.1428588867188,5486.11116536458,8730.55553792318,2933.33333333333,9327.7775390625,0,6700,9900,4258.3333984375,0,25000,1.05650001764297,192624.37560552,182323.116316893,186994.710422777
10040,4,1,1146,1,4958.84716796875,4958.84716796875,0,0,0,19814.2855834961,0,23866.2854003906,0,7821.42846679688,0,11406.2503662109,0,2607.14282226562,0,30401.8293457031,0,2607.14282226562,0,33892.8564453125,0,46928.5717773438,0,19814.2861328125,0,2607.14306640625,0,18380.3570251465,0,30195.4538574219,0,0,0,0,3318.84716796875,0,0,9124.99975585938,0,20857.1440429688,136875.000976562,130357.140625,27375,0,9907.14288330078,31633.333984375,10544.166809082,11500,27375,0,0,0,8516.6669921875,0,204000,1.05650001764297,881727.476348877,834574.028986757,855957.99385911
