"country","wave","visit","surveyt","surveyprd","zone","state","lga","ea","rururb","hhid","hhsize","nfdwater","nfdelec","nfdgas","nfdfwood","nfdchar","nfdkero","nfdliqd","nfdutil","nfdcloth","nfdfmtn","nfdrepar","nfddome","nfdpetro","nfddiesl","nfdfares","nfdtrans","nfdcomm","nfdrecre","nfdtbac","nfdrnthh","nfdinsur","fdsorby","fdmilby","fdmaizby","fdriceby","fdyamby","fdcasby","fdcereby","fdbrdby","fdtubby","fdpoulby","fdmeatby","fdfishby","fddairby","fdfatsby","fdfrutby","fdvegby","fdbeanby","fdswtby","fdbevby","fdalcby","fdrestby","fdothby","fdsorpr","fdmilpr","fdmaizpr","fdricepr","fdyampr","fdcaspr","fdcerepr","fdbrdpr","fdtubpr","fdpoulpr","fdmeatpr","fdfishpr","fddairpr","fdfatspr","fdfrutpr","fdvegpr","fdbeanpr","fdswtpr","fdbevpr","fdalcpr","fdothpr","edtexp","nfdfoth","totcons","hhweight"
"NGA",3,1,"LSMS-ISA2015",2015,4,1,115,670,1,10001,5,3163.33349609375,0,0,0,0,4136.666796875,0,2920,3680,14294.7626953125,0,0,7786.66640625,0,12514.2859375,29200,5840,12000,0,48000,0,0,0,1042.85712890625,9385.7140625,5214.285546875,3650,0,3962.85720214844,3649.99990234375,27114.284375,8864.2859375,7300,3650,6152.85703125,4171.428515625,9177.1427734375,3128.571484375,521.428564453125,10532.8573974609,0,29617.142578125,6048.57141113281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851.666687011719,287571.65625,10576.583984375
"NGA",3,1,"LSMS-ISA2015",2015,4,1,115,670,1,10002,6,0,0,8516.66666666667,0,0,4055.5556640625,0,2433.33325195313,26900,23016.666015625,0,0,7097.22200520833,0,13035.71484375,0,12166.6669921875,53027.77734375,0,69963.1953125,0,0,0,1738.09521484375,7821.42838541667,0,0,0,12253.5712890625,1303.57145182292,3041.66666666667,23029.7615559896,29113.0947265625,6778.57145182292,7213.09521484375,11384.5236002604,12774.9999186198,4345.23795572917,434.523803710938,13122.6194661458,0,77779.7626953125,9298.80944824219,0,0,0,0,6146.56380208333,3299.9326171875,0,0,5214.28580729167,0,0,0,0,1738.09521484375,0,0,0,0,0,0,0,0,9733.3330078125,467778.3125,10576.583984375
"NGA",3,1,"LSMS-ISA2015",2015,4,1,115,670,1,10003,6,0,9000,0,0,0,6894.44466145833,0,2433.33325195313,3666.66666666667,10568.6513671875,0,0,8111.111328125,0,0,0,16222.2216796875,1666.66662597656,0,80483.9921875,0,0,0,1738.09521484375,7821.42838541667,0,3476.1904296875,0,5822.619140625,5214.28580729167,0,16946.4282226563,19553.572265625,3563.09521484375,4084.52376302083,10428.5714518229,16077.3810221354,3476.1904296875,869.047607421875,5561.90462239583,0,22247.6184895833,2520.23815917969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268448.28125,10576.583984375
"NGA",3,1,"LSMS-ISA2015",2015,4,1,115,670,1,10004,5,0,10800,0,0,0,9733.33359375,0,5840,4000,16522.380859375,0,0,12166.66640625,0,0,0,29200,12933.333984375,0,30011.953125,0,0,0,1042.85712890625,7508.57109375,0,4171.428515625,0,3650.00004882812,6257.14296875,18771.428125,32850.0013671875,21900,4067.14296875,4692.85703125,12514.2857421875,17728.5715332031,3650,1042.85712890625,6569.9998046875,0,19397.1423828125,3232.85717773438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300254.8125,10576.583984375
"NGA",3,1,"LSMS-ISA2015",2015,4,1,115,670,1,10005,7,0,9257.142578125,0,0,0,4692.85714285714,0,4171.4287109375,4000,8313.9453125,0,0,8690.47600446429,0,2234.69391741071,0,13904.7626953125,1285.71423339844,0,42857.14453125,0,0,0,0,4469.38783482143,0,2979.591796875,0,3426.53058733259,4469.38783482143,7076.53069196429,7448.97942243304,11173.4690290179,1638.77546037946,2420.91831752232,1489.7958984375,9460.20417131696,2607.14285714286,744.89794921875,3352.0409109933,0,8491.83677455357,1340.8163016183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43452.37890625,215450.84375,10576.583984375
"NGA",3,1,"LSMS-ISA2015",2015,4,1,115,0,1,10006,5,0,4800,0,0,0,4866.666796875,0,0,11400,8746.1904296875,0,0,12166.66640625,0,5214.285546875,0,19466.66796875,2000,0,36000,0,0,0,0,57357.14375,10428.57109375,12514.2859375,0,28678.57109375,9385.7140625,18771.428125,10428.57109375,31285.714453125,35457.142578125,28157.142578125,3128.57138671875,9698.57153320313,46928.571875,2607.1427734375,20022.8571289062,0,15642.85703125,3441.42863769531,0,0,0,0,8342.8578125,4318.309765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36500,497755.875,10576.583984375
"NGA",3,1,"LSMS-ISA2015",2015,4,1,115,670,1,10008,7,0,6000,5214.28571428571,0,0,2085.71428571429,0,173.809524536133,9942.85714285714,14151.15625,0,0,8690.47600446429,0,13408.1629464286,0,8690.4755859375,8380.9521484375,0,53327.78515625,0,0,0,0,0,22346.9397321429,18622.4486607143,0,5959.18373325893,0,0,15270.4077845982,3724.48967633929,3724.48981584821,5214.28571428571,2979.591796875,9683.67347935268,3724.48967633929,1638.77553013393,10726.5306919643,0,42608.1626674107,4692.85724748884,0,0,0,5535.48046875,0,0,0,0,0,0,0,0,0,0,0,0,0,312.982317243304,0,0,0,0,0,286830.46875,10576.583984375
"NGA",3,1,"LSMS-ISA2015",2015,4,1,105,0,0,10009,6,648.888854980469,1300,0,0,0,4055.5556640625,0,0,50700,60249.60546875,0,0,20277.77734375,0,0,0,40555.5546875,208777.765625,0,12000,0,0,0,0,78214.2864583333,21726.1901041667,0,0,13035.7138671875,0,13035.71484375,43452.3802083333,43209.0466308594,30416.666015625,61702.3802083333,0,15121.4283040365,11297.6184895833,10602.3806966146,11123.8090820313,0,43452.3815104167,8951.19020589193,0,0,0,0,0,5038.0283203125,0,0,13060.3111979167,0,0,0,0,0,39140.0485026042,1794.22127278646,2735.57356770833,0,2433.33333333333,0,0,0,12775,880882.8125,10576.583984375
"NGA",3,1,"LSMS-ISA2015",2015,4,1,115,670,1,10010,4,0,10500,0,0,0,3041.66674804688,0,0,0,15169.642578125,0,0,24333.333984375,0,3258.92846679688,0,18250,19216.66796875,0,37514.94140625,0,0,0,0,7039.28564453125,6517.85693359375,4562.5,0,5214.28564453125,2607.14282226563,0,2607.14282226563,65178.5693359375,3650,5214.28564453125,0,17337.5003662109,3910.71435546875,651.785705566406,0,0,41714.2873535156,7169.64276123047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.66662597656,305876.8125,10576.583984375
"NGA",3,1,"LSMS-ISA2015",2015,4,1,104,1364,0,10011,6,1013.88891601563,2000,0,0,0,811.111083984375,0,0,3400,3638.96801757813,1216.66662597656,0,0,0,0,0,5677.77783203125,1333.33337402344,0,4384.767578125,0,0,0,0,22349.221815507,22349.221815507,4469.84436757331,0,7747.72984909379,7449.74016368804,0,14154.5060711571,0,2383.91700614447,6257.78191034632,1489.94806640767,6704.76629603957,3724.87008184402,446.984427780827,2830.90141218278,0,7002.755859375,2681.90661017001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3041.66674804688,138562.296875,11332.0537109375
