"country","wave","visit","surveyt","surveyprd","zone","state","lga","ea","rururb","hhid","hhsize","nfdwater","nfdelec","nfdgas","nfdfwood","nfdchar","nfdkero","nfdliqd","nfdutil","nfdcloth","nfdfmtn","nfdrepar","nfddome","nfdpetro","nfddiesl","nfdfares","nfdtrans","nfdcomm","nfdrecre","nfdtbac","nfdrnthh","nfdinsur","fdsorby","fdmilby","fdmaizby","fdriceby","fdyamby","fdcasby","fdcereby","fdbrdby","fdtubby","fdpoulby","fdmeatby","fdfishby","fddairby","fdfatsby","fdfrutby","fdvegby","fdbeanby","fdswtby","fdbevby","fdalcby","fdrestby","fdothby","fdsorpr","fdmilpr","fdmaizpr","fdricepr","fdyampr","fdcaspr","fdcerepr","fdbrdpr","fdtubpr","fdpoulpr","fdmeatpr","fdfishpr","fddairpr","fdfatspr","fdfrutpr","fdvegpr","fdbeanpr","fdswtpr","fdbevpr","fdalcpr","fdothpr","edtexp","nfdfoth","totcons","hhweight"
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3215,2978,1,320007,4,0,0,10645.8330078125,0,0,1825,0,0,5250,4023.80932617188,0,0,14600,0,32589.28515625,0,0,0,0,15000,0,0,0,0,5866.0712890625,0,9125,0,5214.28564453125,18250.0002441406,0,22160.7138671875,11732.1430664063,17598.21484375,9776.78552246094,4562.5,20205.3568115234,14078.5717773438,3258.92846679688,21117.8570556641,0,83298.2141113281,3258.92846679688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,2021.42858886719,362458.9375,7670.7880859375
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3215,2978,1,320009,1,0,0,0,0,0,0,0,0,2222.22216796875,5097.83349609375,0,0,0,0,0,11406.25,60833.33203125,0,0,300000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385857.137695313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35288.09375,802704.875,7670.7880859375
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3215,2978,1,320010,6,0,0,0,0,0,5069.4443359375,0,0,3000,3948.41284179688,0,0,20277.77734375,0,26071.4296875,10138.888671875,0,0,0,50000,0,0,0,0,13035.71484375,0,5214.28580729167,0,16685.7143554688,0,0,12601.1901041667,8690.47607421875,4171.4287109375,3910.71423339844,0,4345.23811848958,3041.66666666667,0,6778.57161458333,0,0,434.523803710938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,2919.4443359375,214334.921875,7670.7880859375
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320011,9,0,0,0,0,0,811.111111111111,0,0,5222.22222222222,1409.78845214844,0,0,2703.70377604167,0,0,0,0,0,0,8671.6875,0,0,0,0,2429.77784724092,0,7289.33391089267,0,5831.46685507961,0,0,6074.44460729266,0,2915.73365556857,3037.22230364633,0,2794.24451074317,7289.33391089267,728.933413892144,4373.60025532409,0,1214.88892362046,607.444461810231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72222.21875,675.925964355469,136303.078125,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320012,1,0,0,0,0,0,12166.6669921875,0,0,0,9998.392578125,0,0,0,0,26071.427734375,0,0,0,0,93189.7734375,0,0,0,0,5214.28564453125,10428.5712890625,15642.857421875,0,15642.857421875,0,0,26071.427734375,0,6257.14306640625,13035.7138671875,23464.28515625,2607.14282226563,15642.857421875,0,16685.7143554688,0,36500,2607.14282226563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433.33325195313,333659.625,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320013,4,0,0,0,0,0,1825,0,0,1050,4388.6904296875,0,0,3041.66674804688,0,6517.85693359375,0,0,0,0,1500,0,0,0,0,2607.14282226563,1955.35717773438,3910.71435546875,0,3910.71435546875,0,0,6517.85693359375,0,3128.57153320313,3258.92846679688,3258.92846679688,5344.64282226563,3910.71435546875,0,4171.42858886719,0,7821.42858886719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16250,1520.83337402344,85890.4765625,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320014,2,0,0,0,0,0,5475,0,0,4100,4837.142578125,0,0,0,0,20857.142578125,0,0,0,0,21000,0,0,0,0,5214.28564453125,0,6517.85693359375,0,7821.4287109375,5214.28564453125,0,53446.4268798828,36500,0,5214.28564453125,0,2085.71429443359,0,0,3128.57153320313,0,16164.2858886719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,397576.4375,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320015,7,0,0,0,0,0,5214.28571428571,0,0,3057.14285714286,1604.48986816406,0,0,5214.28571428571,0,7448.97935267857,4519.04771205357,0,0,0,15007.2607421875,0,0,0,0,1862.24483816964,0,3724.48967633929,0,2607.14285714286,0,0,6704.08154296875,4469.38783482143,1787.75516183036,1489.7958984375,0,968.367361886161,0,0,3203.06112234933,0,6406.12234933036,372.448974609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115714.2890625,0,191374.671875,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320016,6,0,0,0,0,0,1825,0,0,3500,3562.42065429688,0,0,0,0,17380.9518229167,0,0,0,0,11790.0634765625,0,0,0,0,4345.23795572917,0,5214.28580729167,0,2607.14290364583,0,0,17380.9519856771,8690.47591145833,3650.00008138021,1738.09521484375,0,1738.09521484375,0,0,2867.85723876953,0,8255.95231119792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,833.333312988281,145379.859375,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320017,7,0,0,3476.19056919643,0,0,1738.09528459821,0,0,171.428571428571,5437.7548828125,857.142883300781,0,17380.9520089286,0,0,17380.9520089286,0,0,0,16350.5244140625,0,0,0,0,1862.24483816964,1489.7958984375,5959.18359375,0,3575.51018415179,3724.48967633929,5959.18359375,3724.48967633929,0,3575.51032366071,3352.04073660714,3352.04073660714,1713.26529366629,4469.38783482143,0,2681.63267299107,0,4096.93875558036,372.448974609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,869.047668457031,263570.25,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320018,5,0,0,0,0,0,0,0,0,0,2172.619140625,0,0,0,0,0,0,0,0,0,14148.076171875,0,0,0,0,0,5800.08247564814,0,0,5483.71421914407,6327.36243558013,0,8963.76359578196,6327.36263089263,0,2109.12081130624,2109.12081130624,4534.60978146031,0,0,1898.20881823238,0,0,527.280202826561,0,0,0,14871.1681564008,0,4218.24162261249,0,0,0,0,0,0,0,0,0,0,17202.5175243498,0,0,0,0,1400,973.333312988281,99066.5859375,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320019,5,0,0,0,0,0,7300,0,0,2800,7056.66650390625,0,0,0,0,5214.285546875,0,0,0,0,4484.017578125,0,0,0,0,3255.94905090332,0,4341.26527099609,0,4558.32860528732,0,0,3255.94905090332,7597.21432189941,2604.75928383438,2170.63263549805,0,6077.77145347031,0,325.594910479297,0,0,0,542.658158874512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,64785.09375,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3222,2780,1,320020,7,0,0,0,0,0,2780.95228794643,347.619035993304,0,1428.57142857143,1345.78234863281,0,0,0,0,3724.48967633929,0,0,0,0,17142.857421875,0,0,0,0,0,2234.69391741071,4469.38783482143,0,7225.51032366071,2979.591796875,0,7448.97935267857,7448.97963169643,8268.36746651786,3203.06124441964,2979.591796875,3650,1787.75516183036,0,4022.44907924107,0,22644.8974609375,372.448974609375,0,0,0,0,0,0,0,1862.24483816964,0,0,0,0,0,0,0,0,0,0,0,0,0,5914.28564453125,521.428588867188,113803.953125,4885.24560546875
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3218,296,0,320022,11,0,0,0,0,0,2765.15145596591,0,0,0,2482.31616210938,0,0,0,0,0,0,0,0,0,6543.23388671875,0,0,0,0,8844.84757922241,1228.45104280551,1228.45104280551,0,5257.77065552619,1965.52170400018,4913.80417122205,5896.56502322214,4668.11416482073,0,589.656538518306,982.760852000091,1081.03696451835,0,147.414134629577,2309.48808842861,0,4913.80417122205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8015.64360780747,0,0,0,0,2481.81811523438,1327.27270507813,67643.1171875,2416.29833984375
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3218,296,0,320023,9,0,0,0,0,0,405.555555555556,0,0,0,1197.3544921875,0,0,0,0,0,0,0,0,0,4882.818359375,0,0,0,0,0,0,0,0,2065.6117664616,0,0,0,590.174783283763,0,0,1180.34956656753,0,0,177.05244312315,0,0,0,118.0349620821,0,0,0,0,0,7082.09761296576,0,0,0,0,0,0,0,550.829786305271,0,337.242760863405,38508.9066447359,0,0,0,0,433.333343505859,675.925964355469,58205.28515625,2416.29833984375
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3218,296,0,320024,6,0,0,0,0,0,202.777770996094,0,0,0,2152.34130859375,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,8690.47591145833,0,0,1303.57145182292,1738.09521484375,0,0,0,0,0,0,0,0,0,0,0,0,6952.380859375,0,0,0,0,0,5793.650390625,0,0,0,713.860575358073,0,0,0,0,0,1083.33337402344,1013.88891601563,34644.37890625,2416.29833984375
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3218,296,0,320026,4,0,0,0,0,0,1825,0,0,2750,9038.095703125,0,30416.666015625,6083.33349609375,0,2607.14282226563,0,0,0,0,14563.298828125,0,0,0,0,2673.14833061798,2673.14833061798,8019.44524027303,0,6415.55604231127,6682.87070233539,10692.5933224719,6682.87070233539,0,10959.908348707,6950.18560650013,6014.58367750719,5747.26892593033,4009.72262013652,0,5078.98206224699,0,9356.01922889427,1069.25938321456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000,1520.83337402344,461829.96875,2416.29833984375
"NGA",2,1,"LSMS-ISA2012",2012,5,32,3218,296,0,320027,11,0,0,0,0,0,995.454545454546,0,0,3336.36363636364,1052.55419921875,0,0,0,0,2370.12979403409,0,0,0,0,2147.57983398438,0,0,0,0,2370.12979403409,0,2370.12979403409,0,1659.09090909091,0,0,4977.27257191051,9480.51917613636,1232.46750710227,948.051935369318,0,1327.27272727273,0,142.207796963778,1327.27277166193,0,4503.24671519886,379.220791903409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909.090881347656,272.727264404297,41800.78125,2416.29833984375
